iter	Passed	Remaining
0	49	49888
1	50	25374
2	51	17169
3	52	13100
4	53	10644
5	54	9002
6	55	7839
7	56	6962
8	56	6275
9	57	5718
10	58	5267
11	59	4894
12	60	4576
13	61	4313
14	62	4086
15	63	3878
16	63	3692
17	64	3527
18	65	3381
19	66	3250
20	67	3134
21	68	3026
22	68	2927
23	69	2836
24	70	2756
25	71	2682
26	72	2614
27	73	2550
28	74	2485
29	74	2424
30	75	2366
31	76	2313
32	77	2264
33	78	2218
34	78	2175
35	79	2137
36	80	2101
37	81	2066
38	82	2030
39	83	1997
40	84	1967
41	84	1938
42	85	1911
43	86	1884
44	87	1859
45	88	1829
46	88	1801
47	89	1774
48	90	1748
49	90	1724
50	91	1701
51	92	1678
52	92	1656
53	93	1635
54	94	1615
55	94	1594
56	95	1573
57	95	1552
58	96	1533
59	96	1515
60	97	1497
61	97	1479
62	98	1462
63	98	1446
64	99	1430
65	100	1416
66	100	1401
67	101	1384
68	101	1370
69	101	1355
70	102	1340
71	102	1325
72	103	1311
73	103	1297
74	104	1284
75	104	1271
76	104	1258
77	105	1245
78	105	1233
79	106	1222
80	106	1211
81	107	1199
82	107	1185
83	107	1173
84	107	1162
85	108	1150
86	108	1139
87	108	1128
88	109	1117
89	109	1107
90	109	1096
91	110	1086
92	110	1077
93	110	1067
94	111	1058
95	111	1048
96	111	1039
97	112	1031
98	112	1022
99	112	1013
100	112	1005
101	113	997
102	113	988
103	113	980
104	114	972
105	114	963
106	114	955
107	114	948
108	115	940
109	115	932
110	115	925
111	115	918
112	116	911
113	116	903
114	116	896
115	116	890
116	117	883
117	117	876
118	117	870
119	117	863
120	118	857
121	118	850
122	118	844
123	118	838
124	119	833
125	119	827
126	119	821
127	119	815
128	120	810
129	120	805
130	120	799
131	120	794
132	121	788
133	121	783
134	121	778
135	121	773
136	122	768
137	122	763
138	122	759
139	122	754
140	123	749
141	123	744
142	123	740
143	123	735
144	123	731
145	124	726
146	124	722
147	124	718
148	125	713
149	125	709
150	125	705
151	125	701
152	126	697
153	126	693
154	126	689
155	126	685
156	127	682
157	127	678
158	127	674
159	127	670
160	127	666
161	128	663
162	128	659
163	128	655
164	128	652
165	129	649
166	129	645
167	129	642
168	129	638
169	130	635
170	130	632
171	130	629
172	130	626
173	131	622
174	131	619
175	131	616
176	131	613
177	132	610
178	132	607
179	132	604
180	132	601
181	133	598
182	133	595
183	133	592
184	133	589
185	134	587
186	134	584
187	134	581
188	134	578
189	135	576
190	135	573
191	135	570
192	135	568
193	136	565
194	136	563
195	136	560
196	136	557
197	137	555
198	137	553
199	137	550
200	137	548
201	138	545
202	138	543
203	138	540
204	138	538
205	139	536
206	139	534
207	139	532
208	139	529
209	140	527
210	140	525
211	140	523
212	141	521
213	141	518
214	141	516
215	141	514
216	142	512
217	142	510
218	142	508
219	142	506
220	143	504
221	143	502
222	143	500
223	143	498
224	144	496
225	144	494
226	144	492
227	144	490
228	145	488
229	145	486
230	145	484
231	145	482
232	146	480
233	146	479
234	146	477
235	146	475
236	147	473
237	147	471
238	147	470
239	147	468
240	148	466
241	148	464
242	148	463
243	148	461
244	149	459
245	149	458
246	149	456
247	149	454
248	150	453
249	150	451
250	150	449
251	150	448
252	151	446
253	151	444
254	151	443
255	152	441
256	152	440
257	152	438
258	152	437
259	153	435
260	153	434
261	153	432
262	153	430
263	154	429
264	154	427
265	154	426
266	154	424
267	155	423
268	155	421
269	155	420
270	155	419
271	156	417
272	156	416
273	156	414
274	156	413
275	157	412
276	157	410
277	157	409
278	157	407
279	158	406
280	158	405
281	158	403
282	158	402
283	159	401
284	159	399
285	159	398
286	159	397
287	160	395
288	160	394
289	160	393
290	160	391
291	161	390
292	161	389
293	161	388
294	161	386
295	162	385
296	162	384
297	162	383
298	162	382
299	163	380
300	163	379
301	163	378
302	163	377
303	164	377
304	165	376
305	165	375
306	165	373
307	165	372
308	166	372
309	166	371
310	167	370
311	167	369
312	167	368
313	167	366
314	168	365
315	168	364
316	168	363
317	168	362
318	169	361
319	169	360
320	169	358
321	169	357
322	170	356
323	170	355
324	170	354
325	170	353
326	171	352
327	171	351
328	171	350
329	171	349
330	172	348
331	172	347
332	172	345
333	173	344
334	173	344
335	173	342
336	173	341
337	174	340
338	174	339
339	174	338
340	174	337
341	175	336
342	175	335
343	175	334
344	175	333
345	176	332
346	176	331
347	176	330
348	176	329
349	176	328
350	177	327
351	177	326
352	177	325
353	177	324
354	178	323
355	178	322
356	178	321
357	179	321
358	179	320
359	179	319
360	179	318
361	180	317
362	180	316
363	180	315
364	180	314
365	181	313
366	181	312
367	181	311
368	181	310
369	182	310
370	182	309
371	182	308
372	182	307
373	183	306
374	183	305
375	183	304
376	183	303
377	184	302
378	184	302
379	184	301
380	184	300
381	185	299
382	185	298
383	185	297
384	185	296
385	186	296
386	186	295
387	186	294
388	186	293
389	187	292
390	187	291
391	187	290
392	187	290
393	188	289
394	188	288
395	188	287
396	188	286
397	189	286
398	189	285
399	189	284
400	189	283
401	190	282
402	190	281
403	190	281
404	191	280
405	191	280
406	191	279
407	192	278
408	192	278
409	192	277
410	192	276
411	193	275
412	193	274
413	193	274
414	193	273
415	194	272
416	194	271
417	194	271
418	194	270
419	195	269
420	195	268
421	195	268
422	195	267
423	196	266
424	196	265
425	196	265
426	196	264
427	197	263
428	197	262
429	197	262
430	197	261
431	198	260
432	198	259
433	198	259
434	198	258
435	199	257
436	199	256
437	199	256
438	199	255
439	200	254
440	200	254
441	200	253
442	200	252
443	201	251
444	201	251
445	201	250
446	201	249
447	202	249
448	202	248
449	202	247
450	203	247
451	203	246
452	203	245
453	203	245
454	204	244
455	204	243
456	204	243
457	204	242
458	205	241
459	205	241
460	205	240
461	205	239
462	206	239
463	206	238
464	206	237
465	206	237
466	207	236
467	207	235
468	207	235
469	207	234
470	208	233
471	208	233
472	208	232
473	209	231
474	209	231
475	209	230
476	209	230
477	210	229
478	210	228
479	210	228
480	210	227
481	211	226
482	211	226
483	211	225
484	211	224
485	212	224
486	212	223
487	212	223
488	212	222
489	213	221
490	213	221
491	213	220
492	213	220
493	214	219
494	214	218
495	214	218
496	214	217
497	215	216
498	215	216
499	215	215
500	215	215
501	216	214
502	216	213
503	216	213
504	216	212
505	217	212
506	217	211
507	217	210
508	217	210
509	218	209
510	218	209
511	218	208
512	219	207
513	219	207
514	219	206
515	219	206
516	220	205
517	220	205
518	220	204
519	220	203
520	221	203
521	221	202
522	221	202
523	221	201
524	222	201
525	222	200
526	222	199
527	222	199
528	223	198
529	223	198
530	223	197
531	223	196
532	224	196
533	224	195
534	224	195
535	224	194
536	225	194
537	225	193
538	225	192
539	225	192
540	226	191
541	226	191
542	226	190
543	226	190
544	227	189
545	227	189
546	227	188
547	227	187
548	228	187
549	228	186
550	228	186
551	228	185
552	229	185
553	229	184
554	229	184
555	229	183
556	230	183
557	230	182
558	230	181
559	230	181
560	231	180
561	231	180
562	231	179
563	231	179
564	232	178
565	232	178
566	232	177
567	232	177
568	233	176
569	233	176
570	233	175
571	233	174
572	234	174
573	234	173
574	234	173
575	234	172
576	235	172
577	235	171
578	235	171
579	235	170
580	236	170
581	236	169
582	236	169
583	236	168
584	237	168
585	237	167
586	237	167
587	237	166
588	238	166
589	238	165
590	238	165
591	238	164
592	239	164
593	239	163
594	239	163
595	239	162
596	240	162
597	240	161
598	240	161
599	240	160
600	241	160
601	241	159
602	241	159
603	241	158
604	242	158
605	242	157
606	242	157
607	242	156
608	243	156
609	243	155
610	243	155
611	243	154
612	244	154
613	244	153
614	244	153
615	245	152
616	245	152
617	245	151
618	245	151
619	246	150
620	246	150
621	246	149
622	246	149
623	247	148
624	247	148
625	247	147
626	247	147
627	248	146
628	248	146
629	248	146
630	248	145
631	249	145
632	249	144
633	249	144
634	249	143
635	250	143
636	250	142
637	250	142
638	250	141
639	251	141
640	251	140
641	251	140
642	251	139
643	252	139
644	252	138
645	252	138
646	253	138
647	253	137
648	253	137
649	253	136
650	254	136
651	254	135
652	254	135
653	254	134
654	255	134
655	255	133
656	255	133
657	255	132
658	255	132
659	256	132
660	256	131
661	256	131
662	257	130
663	257	130
664	257	129
665	257	129
666	258	128
667	258	128
668	258	127
669	258	127
670	259	126
671	259	126
672	259	126
673	259	125
674	260	125
675	260	124
676	260	124
677	260	123
678	261	123
679	261	122
680	261	122
681	261	122
682	262	121
683	262	121
684	262	120
