iter	Passed	Remaining
0	50	50668
1	51	25801
2	52	17474
3	53	13296
4	54	10808
5	55	9144
6	56	7973
7	57	7094
8	58	6402
9	59	5850
10	59	5390
11	61	5099
12	62	4769
13	63	4486
14	64	4233
15	65	4013
16	66	3860
17	67	3683
18	68	3522
19	68	3377
20	69	3243
21	70	3119
22	70	3006
23	71	2903
24	71	2807
25	72	2724
26	73	2649
27	74	2573
28	74	2504
29	75	2439
30	75	2375
31	76	2322
32	77	2268
33	78	2217
34	78	2169
35	79	2121
36	79	2075
37	80	2038
38	81	2008
39	82	1979
40	83	1956
41	84	1935
42	85	1913
43	86	1887
44	87	1861
45	88	1833
46	89	1807
47	89	1784
48	90	1762
49	91	1741
50	92	1720
51	93	1699
52	93	1679
53	94	1656
54	95	1633
55	95	1612
56	96	1591
57	96	1571
58	97	1551
59	97	1532
60	98	1515
61	99	1498
62	99	1482
63	100	1467
64	100	1452
65	101	1437
66	102	1421
67	102	1405
68	103	1390
69	103	1376
70	104	1361
71	104	1347
72	105	1334
73	105	1321
74	106	1308
75	106	1295
76	107	1283
77	107	1271
78	107	1256
79	108	1242
80	108	1228
81	108	1214
82	108	1200
83	108	1187
84	109	1174
85	109	1162
86	109	1150
87	109	1138
88	110	1127
89	110	1116
90	110	1104
91	110	1094
92	111	1084
93	111	1073
94	111	1063
95	111	1053
96	112	1043
97	112	1034
98	112	1024
99	112	1015
100	113	1006
101	113	997
102	113	989
103	113	980
104	114	972
105	114	964
106	114	956
107	114	948
108	115	940
109	115	932
110	115	925
111	115	918
112	116	911
113	116	904
114	116	897
115	116	890
116	117	883
117	117	876
118	117	870
119	117	864
120	118	857
121	118	851
122	118	844
123	118	839
124	119	833
125	119	827
126	119	821
127	119	815
128	119	810
129	120	804
130	120	799
131	120	793
132	120	788
133	121	783
134	121	778
135	121	773
136	121	768
137	122	763
138	122	758
139	122	753
140	122	748
141	123	743
142	123	739
143	123	734
144	123	730
145	124	725
146	124	721
147	124	716
148	124	712
149	125	708
150	125	704
151	125	700
152	125	696
153	126	692
154	126	688
155	126	684
156	126	681
157	127	677
158	127	674
159	127	670
160	127	666
161	128	663
162	128	659
163	128	656
164	128	652
165	129	649
166	129	646
167	129	643
168	130	640
169	130	637
170	130	634
171	131	631
172	131	628
173	131	625
174	131	622
175	132	619
176	132	616
177	132	612
178	132	609
179	133	607
180	133	604
181	133	601
182	134	598
183	134	595
184	134	592
185	134	589
186	135	587
187	135	584
188	135	581
189	135	578
190	136	576
191	136	574
192	136	572
193	137	569
194	137	567
195	137	565
196	138	562
197	139	566
198	140	563
199	140	561
200	140	558
201	140	556
202	141	554
203	141	551
204	141	549
205	141	546
206	142	544
207	142	542
208	142	539
209	142	537
210	143	535
211	143	532
212	145	536
213	145	533
214	145	531
215	145	529
216	146	527
217	146	525
218	146	523
219	147	521
220	147	520
221	147	518
222	148	516
223	148	514
224	148	511
225	148	509
226	149	508
227	149	506
228	150	505
229	150	504
230	151	503
231	151	501
232	152	500
233	152	499
234	153	498
235	153	497
236	154	495
237	154	495
238	155	495
239	155	493
240	156	492
241	156	491
242	157	490
243	157	489
244	158	487
245	158	486
246	159	485
247	159	484
248	160	483
249	160	482
250	161	481
251	161	480
252	162	479
253	162	478
254	163	477
255	163	476
256	164	475
257	164	474
258	165	473
259	165	472
260	166	471
261	166	469
262	167	468
263	167	467
264	168	466
265	168	465
266	169	464
267	169	463
268	170	462
269	171	462
270	172	465
271	173	464
272	174	464
273	175	463
274	175	462
275	176	462
276	176	461
277	177	460
278	177	459
279	179	460
280	179	459
281	179	457
282	180	456
283	180	454
284	180	453
285	180	451
286	181	450
287	181	448
288	181	447
289	181	445
290	182	443
291	182	442
292	182	441
293	183	439
294	183	438
295	183	436
296	183	435
297	184	433
298	184	432
299	184	430
300	184	429
301	185	427
302	186	429
303	186	427
304	187	426
305	187	424
306	187	423
307	187	421
308	187	420
309	188	418
310	188	417
311	188	416
312	188	414
313	189	413
314	189	412
315	189	411
316	192	415
317	193	414
318	193	412
319	193	411
320	193	410
321	194	409
322	194	407
323	194	406
324	195	405
325	195	403
326	195	403
327	196	401
328	196	401
329	197	400
330	197	399
331	198	398
332	198	397
333	199	397
334	199	396
335	200	395
336	200	394
337	201	393
338	201	393
339	202	392
340	202	391
341	203	391
342	203	390
343	204	389
344	204	388
345	205	388
346	205	387
347	206	386
348	206	385
349	207	384
350	207	384
351	208	383
352	208	382
353	209	381
354	209	380
355	210	380
356	210	379
357	211	378
358	211	377
359	212	376
360	212	376
361	213	375
362	213	374
363	213	373
364	214	373
365	214	372
366	215	371
367	215	370
368	216	369
369	216	369
370	217	368
371	217	367
372	218	366
373	218	366
374	219	365
375	219	364
376	220	363
377	220	363
378	221	362
379	221	361
380	222	360
381	222	359
382	222	359
383	223	358
384	223	357
385	224	356
386	224	356
387	225	355
388	225	354
389	226	353
390	226	352
391	227	352
392	227	351
393	228	350
394	228	349
395	229	349
396	229	348
397	230	347
398	230	347
399	230	346
400	232	347
401	233	347
402	233	346
403	234	345
404	234	344
405	235	344
406	235	343
407	236	342
408	236	341
409	237	341
410	237	340
411	237	339
412	238	338
413	238	338
